City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Camrose,CA,75.92,broken clouds,53.0168,-112.8353,R & R Inn & Suites
389,Kenora,CA,77.97,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
390,Jardim,BR,78.94,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
391,Warangal,IN,73.33,moderate rain,18.0,79.5833,Capital O 66968 Haveli The Landmark
393,Kvareli,GE,74.98,clear sky,41.9524,45.8151,Kvareli Eden
394,Primorsk,UA,80.2,scattered clouds,46.7348,36.3443,Relax
396,Pachino,IT,79.86,clear sky,36.7186,15.0907,Il Veliero
397,Kaspiyskiy,RU,82.56,clear sky,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
398,Susurluk,TR,70.84,clear sky,39.9136,28.1578,Çağan Pansiyon
401,West Wendover,US,83.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
403,Pingliang,CN,70.47,overcast clouds,35.5392,106.6861,North Gate Hostel
404,Bud,US,77.9,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
405,Pacific Grove,US,82.24,scattered clouds,36.6177,-121.9166,Lovers Point Inn
406,Ruidoso,US,83.05,scattered clouds,33.3317,-105.673,Inn of the Mountain Gods
407,Broome,US,82.85,scattered clouds,42.2506,-75.833,Chenango Valley State Park
408,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
410,Pangai,TO,77.11,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
412,Tempio Pausania,IT,70.72,clear sky,40.8974,9.1035,Hotel Pausania Inn
413,Ciudad Bolivar,VE,82.2,overcast clouds,8.1222,-63.5497,Hotel Edi
417,Sidrolandia,BR,75.58,few clouds,-20.9319,-54.9614,Agropet São Francisco
418,Passo De Camaragibe,BR,74.75,clear sky,-9.2368,-35.4901,Chácara vovó candinha
419,Mikhaylovka,RU,73.78,overcast clouds,50.06,43.2379,5 Komnat
420,Praia Da Vitoria,PT,79.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
422,Langarud,IR,77.59,clear sky,37.197,50.1535,ستاد اسکان فرهنگیان لنگرود
423,Shingu,JP,82.22,broken clouds,33.7333,135.9833,Shingu UI Hotel
426,Aswan,EG,88.72,clear sky,24.0934,32.907,Nuba Nile
427,Cururupu,BR,74.39,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
428,Kedougou,SN,82.98,clear sky,12.5579,-12.1743,Relais de Kédougou
431,Kudahuvadhoo,MV,81.03,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
434,Waingapu,ID,77.14,clear sky,-9.6567,120.2641,Pondok Wisata Elim
437,Lloydminster,CA,75.42,scattered clouds,53.2835,-110.0016,BCMInns - Lloydminster
438,Arawa,PG,80.65,overcast clouds,-6.2132,155.5367,Coastline Guest House
439,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
440,Odweyne,SO,77.07,overcast clouds,9.4092,45.064,Eng Hiirey House
443,Bethel,US,82.72,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
450,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
451,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
452,Santa Isabel Do Rio Negro,BR,78.85,overcast clouds,-0.4139,-65.0192,Hotel GSA
455,Yegorlykskaya,RU,82.04,few clouds,46.5656,40.6562,"Gostinitsa ""Galogenovyy Svet"""
458,Piacabucu,BR,71.65,clear sky,-10.4056,-36.4344,Piaçabuçu News
460,Peru,US,73.6,overcast clouds,40.7537,-86.0689,Cole Porter Inn
465,Lompoc,US,86.14,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
466,Darab,IR,85.23,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
468,Tutoia,BR,78.49,overcast clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
471,Buala,SB,82.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
474,Makakilo City,US,84.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
476,Akhisar,TR,70.63,clear sky,38.9185,27.8401,Seybils Otel
479,Rosarito,MX,91.63,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
480,Muisne,EC,75.04,overcast clouds,0.6,-80.0333,Quinta Samay
484,Kathu,TH,87.69,moderate rain,7.9178,98.3332,Novotel Phuket Resort
487,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Novotel Dakar
488,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
489,Kiunga,PG,73.15,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
491,Atlantic City,US,81.01,broken clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
497,Conakry,GN,77.05,light rain,9.538,-13.6773,Riviera Royal Hotel
502,Bonthe,SL,74.95,light rain,7.5264,-12.505,Bonthe Holiday Village
503,Namatanai,PG,80.35,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
510,Iquitos,PE,84.24,heavy intensity rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
511,La Ronge,CA,79.02,broken clouds,55.1001,-105.2842,Northland Motor Hotel
514,Porto Novo,BJ,75.02,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
517,Kisaran,ID,73.51,overcast clouds,2.9845,99.6158,Penginapan Batubara1
518,Macheng,CN,82.49,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
519,Mastic Beach,US,79.54,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
520,Utraula,IN,81.93,overcast clouds,27.3167,82.4167,Taj Hotel and Lodge
521,Ravar,IR,82.29,broken clouds,31.2656,56.8055,computertik
523,Ayapel,CO,82.18,broken clouds,8.3137,-75.1398,Hotel Colsama
524,Yakymivka,UA,77.41,scattered clouds,46.6897,35.1536,Hotelʹ
526,Srandakan,ID,76.41,overcast clouds,-7.9386,110.2506,Puri Brata
527,Matara,LK,77.54,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
528,Karwar,IN,76.84,overcast clouds,14.8,74.1333,Netalco Connects
529,Port Blair,IN,80.4,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
538,Dingle,PH,74.97,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
542,Windsor,CA,74.07,overcast clouds,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
543,Sibolga,ID,74.46,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
545,Balkanabat,TM,89.42,clear sky,39.5108,54.3671,Nebitchi Hotel
546,Banjarmasin,ID,73.54,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
547,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
548,Abeche,TD,76.55,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
550,Quatre Cocos,MU,70.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
552,Acapulco,MX,85.26,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
554,Samarai,PG,80.04,scattered clouds,-10.6167,150.6667,Nuli Sapi
555,Zheleznodorozhnyy,RU,70.32,overcast clouds,55.7503,38.0042,Hotel Dali
557,Lorengau,PG,81.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
558,Hiroshima,JP,80.64,broken clouds,34.3963,132.4594,Oriental Hotel Hiroshima
559,Morehead,US,87.55,clear sky,37.2711,-87.1764,CCI Express Inn
